,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","1 temperature, C","1 pressure, kPa","1 mass flow, kg/h","1 Methane mass flow, kg/h","1 Ethane mass flow, kg/h","1 Propane mass flow, kg/h","1 i-Butane mass flow, kg/h","1 n-Butane mass flow, kg/h","1 i-Pentane mass flow, kg/h","1 n-Pentane mass flow, kg/h"
303862,-21.0,4746.0,27477.0,31.23963477448828,217.6861499422332,0.4147671998374035,0.1558160711481648,0.0725217224141819,0.1074918046195279,0.2197889993512984,0.0106818255068949,0.0189323771225282,11396.558349932337,4281.358186938124,1992.679366774476,2953.552315530768,6039.142335175626,293.5045194529512,520.2049261957073,-21.0,4746.0,12010.366096511816,9127.694014346836,1848.1281983945298,366.93427127877396,260.83060687441713,387.02720297517027,8.508404167436044,11.243398474645687
322516,-12.0,4055.0,19442.0,21.773436537675035,187.23196404072723,0.370013539099066,0.1155899006119226,0.0680295156576697,0.1940653826250396,0.2261412056553695,0.011984006858383,0.0141764494925495,7193.80322716404,2247.2988476969995,1322.6298434164141,3773.01916899602,4396.637320351693,232.9930613406823,275.6185310341474,-12.0,4055.0,8159.159236621667,6031.652764174889,1098.6065912743882,287.30708108059855,393.2426398004923,333.5525568713738,7.855725032603549,6.941878387319369
31788,-13.0,4107.0,27095.0,22.25538321197186,364.1670792094153,0.5058532684051693,0.0376565913877237,0.0753608218972506,0.1283128588332588,0.2334968829803541,0.0052527278413607,0.0140668486548826,13706.094307438063,1020.3053436503735,2041.901469306005,3476.636910087147,6326.598044352694,142.32266086166817,381.14126430404406,-13.0,4107.0,15244.490338572135,12478.483605126828,655.073673818952,685.5343147620999,598.7088117289888,802.3132455197014,8.140592083672965,16.23609553188867
216175,8.0,3947.0,10839.0,2.2239537301643284,224.53417496604047,0.5554477012853157,0.1413497946153611,0.09483187912439,0.1591288138935651,0.0237320098468186,0.0129239782261538,0.0125858230083956,6020.497634231538,1532.090423835899,1027.8827378292633,1724.797213792352,257.23125472966683,140.08299999328102,136.4177355879999,8.0,3947.0,9715.701169355789,5932.998405348525,1438.1199847480584,859.4764634912943,1207.8784211660964,162.95636887543125,62.14489976459568,52.12662596178417
468899,-3.0,4607.0,22984.0,27.62833075326021,180.1906199739276,0.3362555305651683,0.1475077880735127,0.0617761380974694,0.1178582201191433,0.3066528745230684,0.0151464038705139,0.0148030447511235,7728.497114509829,3390.3190010816156,1419.8627580322368,2708.85333121839,7048.109668038203,348.1249465598915,340.23318055982253,-3.0,4607.0,9167.816318928,6253.029306286331,1615.7509374677586,324.11127014737747,320.6829820415973,628.0056643614219,14.957440115662445,11.27871850785078
111481,-10.0,4515.0,29131.0,33.924133676601656,239.5624812105396,0.3602389919408946,0.1602490162520834,0.0458513872891659,0.1221612372550685,0.2874415927160436,0.011562845645188,0.0124949289015558,10494.122074230201,4668.214092439442,1335.696763120692,3558.6790024774004,8373.461037411065,336.83725648997165,363.989773831222,-10.0,4515.0,12062.186588348852,8540.1422562043,2179.0712404324486,284.49089969959226,378.1532997176777,657.9170102714334,12.314721496207696,10.097160527187794
574641,4.0,4195.0,20298.0,2.701372002852147,408.91005370881527,0.5966422628533998,0.1453993696019106,0.1000721224237809,0.1275156681139071,0.0045780908503661,0.0143631945090501,0.0114292916475851,12110.64465139831,2951.3164041795812,2031.2639409579047,2588.313031376086,92.9260880807311,291.5441221446989,231.99176186268235,4.0,4195.0,18941.21384030737,11991.10697828948,2825.463459653078,1790.9639738299732,2001.0684412716819,66.48007573973324,156.5091820751528,109.62172944826655
339583,-13.0,3564.0,23107.0,9.363186979509065,468.2033910302444,0.5700420500998132,0.1484098808708873,0.0849434209265076,0.1477401900826367,0.035616161554692,0.0050475135893944,0.0082007828760683,13171.961651656384,3429.307117283593,1962.7876273488112,3413.832572239486,822.9826450442681,116.63289651013639,189.4954899173102,-13.0,3564.0,18276.738592530863,12725.181312457886,2864.0613899597324,1153.6931915385394,1256.8838164030403,238.97977381045698,16.90100421640366,21.038104144796637
330429,-9.0,4055.0,11563.0,5.651746833724579,191.85274278172247,0.5300007925095944,0.1908623806827058,0.0423943114019048,0.1415342748943144,0.0701687612541569,0.0108056197413893,0.0142338595159342,6128.39916378844,2206.941707834127,490.2054227402252,1636.5608206029572,811.3613863818163,124.94538106968447,164.58611758274716,-9.0,4055.0,8697.108185728122,5843.315297759942,1766.8260187536068,268.81966967307267,561.7831091303616,220.91229326874094,17.51298006219734,17.938817080197904
264840,2.0,3873.0,22418.0,13.821452015864804,383.0744890343188,0.5074391479281611,0.0749213834752878,0.0829343004829222,0.0905276286105304,0.2245199682611411,0.0104970167765662,0.0091605544653912,11375.770818253517,1679.587574749002,1859.22114822615,2029.4483781908705,5033.288648478261,235.32212209706105,205.36131000513993,2.0,3873.0,15176.922575540344,10790.23645333818,1323.4657877637749,994.0487766444094,678.2565298585388,1336.4001307858405,32.3800490059527,22.134848143642046
97026,-3.0,3914.0,26141.0,27.7931410428442,284.69078817467204,0.364015501879074,0.099885017484849,0.0855662310545695,0.1866755735764086,0.2500842364218961,0.0100080264421486,0.003765413141054,9515.729234620874,2611.0942420714377,2236.786845997501,4879.886168860897,6537.4520243047855,261.61981922420654,98.43166492029262,-3.0,3914.0,11770.748997879784,8247.124733886076,1467.7397184022088,628.337653644947,704.7536888966771,705.8818514731819,13.141004323059605,3.77034725362839
365693,8.0,4356.0,8763.0,6.844325275267975,112.75809661375366,0.4187898803898663,0.1345232447669547,0.1002398776563282,0.043377127676486,0.2882800491161076,0.0054374958351033,0.0093523245591536,3669.8557218563983,1178.8271938928242,878.4020479024041,380.1137698290468,2526.198070404451,47.64877600301022,81.954420111863,8.0,4356.0,5339.13995067525,3370.1082109359863,849.0683804315029,409.773387341995,110.21850899145373,585.8926172872362,5.932391686689974,8.146454000383816
540530,-1.0,3633.0,9650.0,4.219824812635882,191.17411611354748,0.5154725501871349,0.1810146259416022,0.0380304992468401,0.0899948190785561,0.1606011378653751,0.0057828492731633,0.0091035184073281,4974.310109305852,1746.7911403364612,366.99431773200695,868.4500041080663,1549.8009804008698,55.80449548602584,87.84895263071617,-1.0,3633.0,7451.764979183,4807.358745355176,1484.3230401582805,231.7614609179862,368.8032640912287,536.0939151744153,10.443354144947612,12.98119934096116
576423,0.0,4628.0,17859.0,13.386315444778068,222.0156953989092,0.4720807048223036,0.1117223513133983,0.088549593151913,0.1422907169742602,0.1742927358021417,0.0060264203375464,0.0050374775984363,8430.88930742152,1995.2494721059804,1581.4071841000143,2541.1699144433132,3112.6939686904484,107.62584080824115,89.96431243047388,0.0,4628.0,11206.633105068033,7724.242949206251,1412.0846085163705,703.9516101304847,683.978241738865,662.4757206531956,11.987805952201334,7.912168870660205
386269,-25.0,4726.0,20542.0,14.146360747956598,249.4374839845577,0.5879131116731935,0.0918871531470392,0.0387041053468489,0.2236416034494125,0.0385635184903242,0.011132389182666,0.0081581187105153,12076.911139990742,1887.5458999464793,795.0597320349701,4594.045818057832,792.1717968282397,228.68153859032498,167.58407455140528,-25.0,4726.0,13413.754216629904,10983.456562588537,1216.6810879852803,271.7019008689532,816.3234248990641,104.27915756325832,13.784820682115893,7.527262042693565
450915,-15.0,4227.0,18880.0,25.821823649934515,125.3390464592584,0.3042167865677078,0.1835795411373939,0.0889344145153236,0.2322996095528658,0.1748137316882939,0.0123635368692138,0.0037923796692008,5743.612930398323,3465.9817366739967,1679.0817460493097,4385.816628358106,3300.4832542749887,233.42357609075654,71.60012815451111,-15.0,4227.0,6095.335443221942,4222.300171467723,1204.4827639254106,230.46621818281915,279.57796424670164,152.5957429403018,4.807126457569009,1.1054560014156047
201288,7.0,4769.0,20878.0,20.06889980534541,208.9631829965945,0.3830891071567712,0.1497836606842842,0.0376794003313944,0.163966559172084,0.2417849324333358,0.0120909268300755,0.0116054133920548,7998.134379219069,3127.1832677664856,786.6705201188523,3423.29382239477,5047.985819343185,252.43437035831627,242.2978207993201,7.0,4769.0,11000.053435519989,7023.088362386083,1979.5055421573302,296.32618629028224,765.7117188347754,893.6422476293047,23.65457252398157,18.12480569822904
223654,-3.0,3590.0,27668.0,22.456388031064822,429.1749350792552,0.4459354648758834,0.0749136491724166,0.0731281615199558,0.209543680082524,0.1880006686216657,0.0043117583386048,0.0041666173889492,12338.142442185943,2072.7108453024225,2023.309972934137,5797.654540523274,5201.602499424246,119.29772971251761,115.28196991744647,-3.0,3590.0,15833.532091681443,11396.363076345422,1443.280192588825,815.7982941658836,1285.0771360493602,876.5310511622769,9.485947328820826,6.996394040849461
65110,-13.0,4111.0,20079.0,17.658977573186096,253.25001569335325,0.4769350522267574,0.0630721009196777,0.0371241888395241,0.1354954761918536,0.2732938398418817,0.0069945588653107,0.0070847831149945,9576.378913661063,1266.4247143662085,745.4165877088044,2720.613666456228,5487.4670101851425,140.44374745657356,142.25536016597457,-13.0,4111.0,10673.822809512789,8611.005013392853,775.0852260751863,229.6793946673922,421.95965276528517,623.5596365042549,7.1486662583909295,5.385219849423852
594024,4.0,4366.0,12485.0,7.630129002815326,176.05150263506584,0.4484804116661415,0.1997482602325665,0.0694587405927114,0.1111404845155795,0.1541586244414028,0.0095861973379612,0.0074272812136368,5599.277939651776,2493.8570290035927,867.1923763000018,1387.58894917701,1924.670426150914,119.68367376444559,92.72960595225545,4.0,4366.0,8737.268090112046,5252.3654262228065,1936.2874753321823,469.10623906638375,491.94747956346,556.3762561749605,19.20837652410928,11.976837228142323
549772,-4.0,4749.0,10963.0,10.737676289635903,105.42029777213747,0.399506087977228,0.1811075356325974,0.0758126681283232,0.0826609104662184,0.2406147180442879,0.013431286507215,0.0068667932441298,4379.78524249435,1985.4819131401653,831.1342806908073,906.2115614411523,2637.8591539195286,147.24719397859803,75.280654335395,-4.0,4749.0,5722.744178244238,3777.7705941338177,1154.15786964437,262.2533519685901,158.91971350956473,355.688235068961,9.976564819052042,3.9778490998809533
385488,-18.0,4134.0,16313.999999999998,10.897928326183871,247.7372347349693,0.5879330632094765,0.0161086939188923,0.0862253000876283,0.121266928387573,0.1780356611895887,0.0056612083649682,0.0047691448418726,9591.539993199398,262.79723259280894,1406.6795456295679,1978.3486697148658,2904.47377664695,92.3569532660912,77.80382895030958,-18.0,4134.0,10501.449690017094,8936.822803026702,183.117825980463,541.832170818324,398.5963575588352,431.10134238387957,6.1507111777242365,3.8284790711656345
247217,-23.0,4467.0,11072.0,9.659508826096818,121.00994235808176,0.49180952467076,0.1538825051931505,0.0710839982931456,0.0747968984578118,0.1896138969237931,0.0041666835490017,0.0146464929123371,5445.315057154655,1703.7870974985624,787.0420291017081,828.1512597248923,2099.405066740237,46.13352025454682,162.16596952539638,-23.0,4467.0,6226.125707728272,4765.169202912571,945.1764238402465,206.0123559378345,106.5866028181486,196.23033566657176,1.9308031011117077,5.0199834517866755
40714,-7.0,4403.0,26041.0,25.82960677584856,276.4274815463364,0.4303519085385106,0.0553218820290946,0.1045220281857338,0.1915251243746913,0.2022034014890704,0.0118048669322692,0.0042707884506296,11206.794050251354,1440.6371299196524,2721.858135984694,4987.505763841336,5265.578778176882,307.41053978322225,111.2156020428454,-7.0,4403.0,12781.811308845708,9773.612367498834,828.3240546201531,796.8038926787743,760.5146294767748,601.4997298560818,16.506223125384388,4.550411589702272
26037,-19.0,4713.0,23383.0,14.990474421783224,299.54530595435926,0.5799248979232164,0.0907624207745541,0.0783074430909295,0.2170257992975484,0.0117413499676447,0.0100411275189537,0.0121969614271531,13560.383888138571,2122.2976849713987,1831.0629417952046,5074.714264974574,274.54798629343605,234.79168477569436,285.20154905112094,-19.0,4713.0,15920.209802070754,12493.696338708987,1469.810935356777,737.0211938903578,1135.9404953747303,46.76872775643711,19.22262414878196,17.749486834679956
301673,-16.0,4622.0,14736.000000000002,15.516072792937708,133.45395068635833,0.4185870994133203,0.1719539582666855,0.0811964120831464,0.2091964421337862,0.1054193753772527,0.0095746677026192,0.0040720450231895,6168.299496954688,2533.913529017878,1196.5103284572456,3082.7187712834734,1553.459915559196,141.09230326579655,60.00565546172047,-16.0,4622.0,7204.123167905364,5138.146637697534,1268.359966375871,282.98311243965304,368.7115263588898,138.16018576306544,5.867028399007437,1.8947108713418073
453688,-25.0,4062.0,28589.0,29.367213576651352,296.15060923216663,0.4365293702006319,0.1361620595967265,0.077950012173429,0.163839299825519,0.1708748199422059,0.0033767133226964,0.0112677249387912,12479.938164665866,3892.737121810814,2228.512898026162,4684.001742711763,4885.1402273277245,96.53685718256737,322.13298827510164,-25.0,4062.0,13535.940956304628,10541.169737220784,1840.2576846221814,432.45002723984067,410.5598594260787,302.86382962219017,2.523116743376287,6.116701430176292
2800,-20.0,3887.0,20380.0,23.65826775728052,190.19361022631568,0.3743938429773915,0.087099463410825,0.0560327581741038,0.2539748608162968,0.2044061884803405,0.0085254174131184,0.0155674687279236,7630.146519879238,1775.0870643126136,1141.9476115882355,5176.0076634361285,4165.79812122934,173.74800687935297,317.26501267508297,-20.0,3887.0,7848.138799637287,6270.820944853713,767.2058017823678,193.4402811936211,387.7025550337792,220.064995336708,3.8247560503189715,5.079465386776063
