,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","1 actual vapour flow, m3/h","1 mass flow, kg/h"
254434,-2.0,4253.0,6258.0,4.818020185456015,81.35703520779163,0.4413914271990043,0.1477007814224627,0.099706477309414,0.2065253024855582,0.0914210393883951,0.00360542643352,0.0096495457616455,2762.227551411369,924.3114901417716,623.9631350023128,1292.4353429546231,572.1128644925766,22.56275862096816,60.38685737637754,81.35703520779161,3874.932800769339
437298,4.0,4323.0,25165.0,9.479191413862038,442.5160981802664,0.5714910507545503,0.0926926831784269,0.0563904286029325,0.2124032307348688,0.0534418904377941,0.0098458299840656,0.0037348863073617,14381.57229223826,2332.611372185113,1419.0651357927964,5345.1273014429735,1344.8651728670884,247.77031154901084,93.98841392475718,442.5160981802664,20387.7719495989
500922,-8.0,3767.0,5264.0,2.060248381079413,103.4912138733252,0.5774992184080363,0.1158695997868283,0.1189716307576003,0.0956576886358235,0.068057593700123,0.0097507849951317,0.0141934837164569,3039.9558856999033,609.9375732778642,626.266664308008,503.5420729789749,358.2551732374475,51.32813221437327,74.71449828342912,103.4912138733252,4199.295859101093
577541,-25.0,4407.0,23038.0,17.696001094906993,290.68802552328043,0.5694173595844754,0.0336099108388256,0.0429276345037648,0.0626089417560016,0.2626121408102632,0.008278832480454,0.0205451800262152,13118.237130107143,774.3051259048641,988.9668436977335,1442.3848001747647,6050.058499986843,190.72774268469925,473.31985744394575,290.6880255232805,13484.131227060434
254432,2.0,3660.0,13832.0,6.308306302543758,273.71864004126087,0.5300111517397451,0.0937941884422303,0.1016510629185013,0.1560017126907024,0.1076552940187702,0.0049871212188153,0.0058994689712353,7331.114250864154,1297.3612145329294,1406.0375022887101,2157.8156899377955,1489.0880268676294,68.98186069865322,81.60145481012667,273.71864004126087,10573.204867914144
506228,-14.0,4748.0,7795.0,5.756740036482639,92.9913232053094,0.5277062378911532,0.1089328106204653,0.0776087263395537,0.1196009828260671,0.1427602185762115,0.0123105032867624,0.0110805204597864,4113.470124361539,849.1312587865269,604.960021816821,932.2896611291931,1112.8159038015685,95.96037312031291,86.37265698403499,92.9913232053094,4904.403328074388
402733,-19.0,4701.0,10191.0,1.0875215395136832,172.85331823013888,0.681682346787551,0.2169503438750211,0.029911893432916,0.0359524944084525,0.0061441172167374,0.0175686429710943,0.0117901613082274,6947.024796111932,2210.94095443034,304.83210597484697,366.3918705165394,62.61469855577084,179.04204051842203,120.15353389214543,172.85331823013888,9646.564644677295
467670,-4.0,4856.0,17741.0,15.112127784214769,197.50057916252,0.4868566129143458,0.0540494398668493,0.0608927887556961,0.1851715116780477,0.19904300301826,0.0067923665202552,0.0071942772465455,8637.323169713409,958.8911126777734,1080.2989653148045,3285.1277886802445,3531.2219165469505,120.5033744358475,127.63367263096372,197.50057916252,10067.272912561417
595824,-6.0,3535.0,28795.0,17.675937584650104,527.6883840747984,0.5002585824454427,0.1336392272118779,0.053517638280147,0.0383052577306581,0.2497477212979295,0.0133891512306401,0.0111424218033044,14404.945881516524,3848.141547566024,1541.040394276833,1102.9998963543,7191.48563477388,385.54060968628164,320.84603582615017,527.6883840747984,19353.414161678847
417883,0.0,4466.0,10919.0,7.034331246476596,148.84204548798857,0.4707262197475975,0.1782825251269251,0.0605034597581444,0.0987986834739064,0.1741168266283254,0.0030507847925503,0.0145215004725505,5139.859593424017,1946.6668918608952,660.6372770991786,1078.7828248515839,1901.181629954685,33.31151914985673,158.5602636597789,148.84204548798857,7426.351480739561
55333,-1.0,4013.0,8145.000000000001,5.918213713181031,116.02660092367093,0.4346806464972716,0.1813793608289144,0.0365927742800747,0.2045000517790855,0.1243070542036171,0.0107452824973182,0.0077948299137182,3540.473865720278,1477.3348939515079,298.0481465112085,1665.6529217406517,1012.4809564884614,87.52032594065675,63.48888964723474,116.02660092367093,5156.4615390980125
143700,-19.0,4697.0,7412.0,7.838360840042451,65.46434860289112,0.4370595146873443,0.114275934304585,0.0705649361031262,0.0904804408554109,0.2654572294262828,0.0124148319723946,0.0097471126508558,3239.4851228625957,847.013225065584,523.0273063963714,670.6410276203056,1967.568984507608,92.01873457938878,72.2455989681432,65.46434860289112,3436.0253197217426
346142,-16.0,4073.0,24507.0,24.396562068980124,271.50158419845263,0.4338634928374443,0.0750065036314781,0.0840659843079385,0.0869490970190712,0.2948970504176635,0.0158065792109117,0.0094112925754926,10632.692618967247,1838.1843844966336,2060.205077434649,2130.8615206463783,7227.04201458568,387.371836721813,230.64254714759713,271.5015841984526,11596.878575184242
187813,9.0,4824.0,8094.000000000001,7.438930430675485,84.07041820591822,0.397768927822957,0.1291047657545376,0.0403812377463803,0.1979578419482225,0.216465306249923,0.0068200937397031,0.0115018267382763,3219.541701799014,1044.9739740172274,326.84573831920216,1602.270772728913,1752.070188786877,55.2018387291569,93.09578561960838,84.07041820591822,4442.002039179669
323946,2.0,4052.0,6135.0,6.163266336943887,70.0314810549665,0.3831911438464129,0.0704890251861922,0.1035359298360669,0.2258198819298355,0.1985440529634011,0.0126447877075296,0.0057751785305615,2350.877667497743,432.4501695172891,635.1929295442704,1385.4049756395407,1218.0677649304657,77.5757725856941,35.4307202849948,70.0314810549665,2976.4812797419872
